,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.550552248954773,0.5502555366269165,0.9984544049459042,0.0037735849056603774,0.7095002745744097
1,model,test,0.5522388219833374,0.5516074450084603,0.9848942598187311,0.025735294117647058,0.7071583514099783
2,model,train,0.5387789011001587,0.5391666666666667,0.9908116385911179,0.01073345259391771,0.6983270372369131
3,model,test,0.5297855734825134,0.5302175664786463,0.9865067466266867,0.015202702702702704,0.689727463312369
4,model,train,0.5719237327575684,0.5719237435008665,1.0,0.0,0.7276736493936052
5,model,test,0.5561268329620361,0.5561268209083119,1.0,0.0,0.7147577092511013
6,model,train,0.55192631483078,0.551107325383305,0.9877862595419847,0.022263450834879406,0.7074904319300164
7,model,test,0.5435855388641357,0.542809642560266,0.9924012158054711,0.014336917562724014,0.7017732401934443
8,model,train,0.604938268661499,0.6160714285714286,0.8414634146341463,0.2803347280334728,0.7113402061855669
9,model,test,0.49572649598121643,0.5383693045563549,0.6865443425076453,0.25387596899224807,0.603494623655914
10,model,train,0.5602409839630127,0.5598621877691645,1.0,0.001953125,0.7178354500276091
11,model,test,0.5573770403862,0.5524296675191815,0.9773755656108597,0.05745062836624776,0.7058823529411765
12,model,train,0.6048824787139893,0.6027272727272728,1.0,0.013544018058690745,0.7521270561542825
13,model,test,0.5508831143379211,0.5481099656357389,0.9876160990712074,0.03130755064456722,0.7049723756906078
14,model,train,0.594373881816864,0.5936363636363636,1.0,0.004454342984409799,0.7450085567598402
15,model,test,0.6021997928619385,0.6065259117082533,0.9634146341463414,0.05747126436781609,0.7444051825677268
16,model,train,0.5573770403862,0.5510729613733906,0.9742033383915023,0.0677361853832442,0.7039473684210528
17,model,test,0.5861774682998657,0.5863125638406538,0.8776758409785933,0.21814671814671815,0.7030006123698714
18,model,train,0.5572264194488525,0.5717463848720801,0.779969650986343,0.2843866171003718,0.6598202824133504
19,model,test,0.5707154870033264,0.5721868365180467,0.8266871165644172,0.2672727272727273,0.6762860727728984
20,model,train,0.5800524950027466,0.5790861159929701,0.9984848484848485,0.008281573498964804,0.7330367074527253
21,model,test,0.6056466102600098,0.6047794117647058,0.9954614220877458,0.016018306636155607,0.7524299599771297
22,model,train,0.5774410963058472,0.5705412599822538,0.972768532526475,0.08159392789373814,0.7192393736017898
23,model,test,0.5944494009017944,0.5954954954954955,0.9939849624060151,0.00663716814159292,0.7447887323943664
