,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model_0.5_10,train,0.961945057,0.96,0.96,0.955555556,0.963855422
1,model_0.5_10,test,0.596566498,0.539568345,0.539568345,0.5,0.614754098
2,model_0.5_25,train,0.951374233,0.990909091,0.990909091,0.991452991,0.949891068
3,model_0.5_25,test,0.583691001,0.61038961,0.61038961,0.74789916,0.492146597
4,model_0.5_50,train,0.940803409,0.923694779,0.923694779,0.918803419,0.942622951
5,model_0.5_50,test,0.613733888,0.592307692,0.592307692,0.554621849,0.631147541
6,model_0.5_100,train,0.970401704,0.991341991,0.991341991,0.99137931,0.970338983
7,model_0.5_100,test,0.626609445,0.623762376,0.623762376,0.685950413,0.591549296
8,model_0.6_10,train,0.964059174,0.992673993,0.992673993,0.989304813,0.969588551
9,model_0.6_10,test,0.652360499,0.71641791,0.71641791,0.595744681,0.703296703
10,model_0.6_25,train,0.972515881,0.981884058,0.981884058,0.974226804,0.976576577
11,model_0.6_25,test,0.648068666,0.731884058,0.731884058,0.574712644,0.711267606
12,model_0.6_50,train,0.976744175,0.975694444,0.975694444,0.962765957,0.980802792
13,model_0.6_50,test,0.660944223,0.682634731,0.682634731,0.430107527,0.74267101
14,model_0.6_100,train,0.976744175,0.996428571,0.996428571,0.994565217,0.980667838
15,model_0.6_100,test,0.648068666,0.725,0.725,0.659793814,0.6796875
16,model_0.7_10,train,0.974629998,0.978787879,0.978787879,0.951724138,0.981762918
17,model_0.7_10,test,0.686695278,0.787878788,0.787878788,0.461538462,0.780780781
18,model_0.7_25,train,0.972515881,0.984756098,0.984756098,0.964788732,0.980273141
19,model_0.7_25,test,0.716738224,0.770491803,0.770491803,0.382352941,0.810344828
20,model_0.7_50,train,0.974629998,0.984662577,0.984662577,0.965517241,0.981651376
21,model_0.7_50,test,0.660944223,0.787096774,0.787096774,0.492307692,0.755417957
22,model_0.7_100,train,0.95983088,1,1,1,0.970358814
23,model_0.7_100,test,0.665236056,0.81884058,0.81884058,0.626865672,0.743421053
24,model_0.8_10,train,0.978858352,0.98687664,0.98687664,0.945652174,0.98687664
25,model_0.8_10,test,0.768240333,0.831683168,0.831683168,0.244444444,0.861538462
26,model_0.8_25,train,0.968287528,0.974293059,0.974293059,0.887640449,0.980595084
27,model_0.8_25,test,0.746781111,0.821428571,0.821428571,0.270833333,0.845144357
28,model_0.8_50,train,0.987314999,0.997361478,0.997361478,0.988888889,0.992125984
29,model_0.8_50,test,0.755364835,0.834196891,0.834196891,0.319148936,0.849604222
30,model_0.8_100,train,0.985200822,0.99463807,0.99463807,0.979381443,0.990654206
31,model_0.8_100,test,0.738197446,0.85106383,0.85106383,0.3,0.839895013
