,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model_0.5_10,train,0.9620253443717957,0.9658119658119658,0.9658119658119658,0.9663865546218487,0.9617021276595744
1,model_0.5_10,test,0.5854700803756714,0.5945945945945946,0.5945945945945946,0.6120689655172413,0.5764192139737991
2,model_0.5_25,train,0.9535865187644958,0.9176470588235294,0.9176470588235294,0.9121338912133892,0.9551020408163264
3,model_0.5_25,test,0.5641025900840759,0.5594405594405595,0.5594405594405595,0.45217391304347826,0.6106870229007635
4,model_0.5_50,train,0.949367105960846,0.9313304721030042,0.9313304721030042,0.9357429718875502,0.947598253275109
5,model_0.5_50,test,0.5982906222343445,0.6470588235294118,0.6470588235294118,0.6,0.6209677419354838
6,model_0.5_100,train,0.9599156379699707,0.9475806451612904,0.9475806451612904,0.944206008583691,0.9611451942740287
7,model_0.5_100,test,0.55982905626297,0.5384615384615384,0.5384615384615384,0.5041322314049587,0.5761316872427983
8,model_0.6_10,train,0.9620253443717957,0.9658703071672355,0.9658703071672355,0.9453551912568307,0.9691780821917809
9,model_0.6_10,test,0.5897436141967773,0.6242038216560509,0.6242038216560509,0.40404040404040403,0.6712328767123288
10,model_0.6_25,train,0.9641350507736206,0.9661016949152542,0.9661016949152542,0.945054945054945,0.9710391822827938
11,model_0.6_25,test,0.5811966061592102,0.6363636363636364,0.6363636363636364,0.52,0.6315789473684211
12,model_0.6_50,train,0.9683544039726257,0.9625850340136054,0.9625850340136054,0.9411764705882353,0.9741824440619622
13,model_0.6_50,test,0.6068376302719116,0.6556291390728477,0.6556291390728477,0.45263157894736844,0.6827586206896552
14,model_0.6_100,train,0.9641350507736206,0.9498327759197325,0.9498327759197325,0.9202127659574468,0.9709401709401708
15,model_0.6_100,test,0.6282051205635071,0.6802721088435374,0.6802721088435374,0.5,0.6968641114982578
16,model_0.7_10,train,0.9683544039726257,0.9611940298507463,0.9611940298507463,0.9133333333333333,0.9772382397572079
17,model_0.7_10,test,0.7094017267227173,0.765,0.765,0.21666666666666667,0.8181818181818182
18,model_0.7_25,train,0.9704641103744507,0.987987987987988,0.987987987987988,0.9703703703703703,0.9791666666666667
19,model_0.7_25,test,0.692307710647583,0.7668711656441718,0.7668711656441718,0.49333333333333335,0.7763975155279503
20,model_0.7_50,train,0.9725738167762756,0.9613095238095238,0.9613095238095238,0.9139072847682119,0.9802731411229135
21,model_0.7_50,test,0.7307692170143127,0.8043478260869565,0.8043478260869565,0.3898305084745763,0.8245125348189416
22,model_0.7_100,train,0.9810126423835754,0.9939024390243902,0.9939024390243902,0.9858156028368794,0.9863842662632375
23,model_0.7_100,test,0.6495726704597473,0.7643312101910829,0.7643312101910829,0.463768115942029,0.7453416149068323
24,model_0.8_10,train,0.9915611743927002,0.9946808510638298,0.9946808510638298,0.9795918367346939,0.9946808510638298
25,model_0.8_10,test,0.7564102411270142,0.8442211055276382,0.8442211055276382,0.225,0.8549618320610686
26,model_0.8_25,train,0.9746835231781006,0.9893048128342246,0.9893048128342246,0.9583333333333334,0.9840425531914894
27,model_0.8_25,test,0.7051281929016113,0.8360655737704918,0.8360655737704918,0.2857142857142857,0.816
28,model_0.8_50,train,0.9662446975708008,0.9608355091383812,0.9608355091383812,0.8571428571428571,0.9787234042553191
29,model_0.8_50,test,0.8504273295402527,0.8807339449541285,0.8807339449541285,0.21212121212121213,0.9164677804295943
30,model_0.8_100,train,0.9831223487854004,0.9818652849740933,0.9818652849740933,0.925531914893617,0.9895561357702349
31,model_0.8_100,test,0.811965823173523,0.8613861386138614,0.8613861386138614,0.36363636363636365,0.8877551020408163
